case,altitude_ft,co2_target_mL_min,sweep_L_min,fio2,duration_h,o2_volume_L,steel200_kg,comp300_kg,lox_dewar_kg,confidence_tag
A_ambient_exhaust,0,80,1.573,1.0,2,189,0.9,0.9,1.5,CALCULATED
A_ambient_exhaust,0,80,1.573,1.0,4,378,1.9,1.8,1.7,CALCULATED
A_ambient_exhaust,0,80,1.573,1.0,8,755,3.8,3.7,2.2,CALCULATED
A_ambient_exhaust,0,80,1.573,1.0,12,1133,5.7,5.5,2.7,CALCULATED
A_ambient_exhaust,0,80,1.573,1.0,24,2266,11.3,11.0,4.2,CALCULATED
A_ambient_exhaust,0,80,1.573,1.0,48,4531,22.7,21.9,7.2,CALCULATED
A_ambient_exhaust,0,80,1.573,1.0,72,6797,34.0,32.9,10.2,CALCULATED
A_ambient_exhaust,8000,80,2.118,1.0,2,254,1.3,1.2,1.5,CALCULATED
A_ambient_exhaust,8000,80,2.118,1.0,4,508,2.5,2.5,1.9,CALCULATED
A_ambient_exhaust,8000,80,2.118,1.0,8,1017,5.1,4.9,2.5,CALCULATED
A_ambient_exhaust,8000,80,2.118,1.0,12,1525,7.6,7.4,3.2,CALCULATED
A_ambient_exhaust,8000,80,2.118,1.0,24,3050,15.3,14.7,5.2,CALCULATED
A_ambient_exhaust,8000,80,2.118,1.0,48,6100,30.5,29.5,9.3,CALCULATED
A_ambient_exhaust,8000,80,2.118,1.0,72,9150,45.8,44.2,13.3,CALCULATED
A_ambient_exhaust,16000,80,2.903,1.0,2,348,1.7,1.7,1.7,CALCULATED
A_ambient_exhaust,16000,80,2.903,1.0,4,697,3.5,3.4,2.1,CALCULATED
A_ambient_exhaust,16000,80,2.903,1.0,8,1393,7.0,6.7,3.0,CALCULATED
A_ambient_exhaust,16000,80,2.903,1.0,12,2090,10.5,10.1,4.0,CALCULATED
A_ambient_exhaust,16000,80,2.903,1.0,24,4180,20.9,20.2,6.7,CALCULATED
A_ambient_exhaust,16000,80,2.903,1.0,48,8360,41.8,40.4,12.3,CALCULATED
A_ambient_exhaust,16000,80,2.903,1.0,72,12540,62.7,60.6,17.8,CALCULATED
A_ambient_exhaust,22000,80,3.725,1.0,2,447,2.2,2.2,1.8,CALCULATED
A_ambient_exhaust,22000,80,3.725,1.0,4,894,4.5,4.3,2.4,CALCULATED
A_ambient_exhaust,22000,80,3.725,1.0,8,1788,8.9,8.6,3.6,CALCULATED
A_ambient_exhaust,22000,80,3.725,1.0,12,2682,13.4,13.0,4.8,CALCULATED
A_ambient_exhaust,22000,80,3.725,1.0,24,5364,26.8,25.9,8.3,CALCULATED
A_ambient_exhaust,22000,80,3.725,1.0,48,10729,53.6,51.9,15.4,CALCULATED
A_ambient_exhaust,22000,80,3.725,1.0,72,16093,80.5,77.8,22.6,CALCULATED
A_ambient_exhaust,25000,80,4.239,1.0,2,509,2.5,2.5,1.9,CALCULATED
A_ambient_exhaust,25000,80,4.239,1.0,4,1017,5.1,4.9,2.5,CALCULATED
A_ambient_exhaust,25000,80,4.239,1.0,8,2035,10.2,9.8,3.9,CALCULATED
A_ambient_exhaust,25000,80,4.239,1.0,12,3052,15.3,14.8,5.2,CALCULATED
A_ambient_exhaust,25000,80,4.239,1.0,24,6105,30.5,29.5,9.3,CALCULATED
A_ambient_exhaust,25000,80,4.239,1.0,48,12209,61.0,59.0,17.4,CALCULATED
